volume_id,element_id,hsg_url,file,line,byte_offset,defect_class,what_is_wrong,corrected_encoding,evidence,adjudication,confidence
frus1866p2,ch17,https://history.state.gov/historicaldocuments/frus1866p2/ch17,frus1866p2.xml,47407,3647070,R1-rank,"structural rank violation: “Chilian legation.” (ch17, chapter) sits inside “Chili.” (ch16, chapter)","move the </div> at line 48235 to line 47407, immediately before this div; tag count unchanged","no machine-readable table of contents in this volume, so nothing in the file settles the level; offered as a question; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0",NO-TOC-UNADJUDICATED,please-verify-against-print
frus1868p1,comp1,https://history.state.gov/historicaldocuments/frus1868p1/comp1,frus1868p1.xml,10663,592674,R1b-mistyped-container,"a container typed chapter that its own id calls a compilation: comp1 is typed type=""chapter"" but its own xml:id names a compilation, and it holds 10 chapters","change type=""chapter"" to type=""compilation"" on this div; the nesting below it is already correct and no tag moves","the volume's own id-minting calls this div a compilation, and its children are chapters; the published site renders it as a compilation",INTRA-VOLUME-CONVENTION,please-verify-against-print
frus1868p2,ch33,https://history.state.gov/historicaldocuments/frus1868p2/ch33,frus1868p2.xml,87263,6948511,R1-rank,"structural rank violation: “Peruvian legation.” (ch33, chapter) sits inside “Peru.” (ch26, chapter)","move the </div> at line 89483 to line 87263, immediately before this div; tag count unchanged","no machine-readable table of contents in this volume, so nothing in the file settles the level; offered as a question; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0",NO-TOC-UNADJUDICATED,please-verify-against-print
frus1873p1v2,ch5subsubch16,https://history.state.gov/historicaldocuments/frus1873p1v2/ch5subsubch16,frus1873p1v2.xml,58025,4603313,displaced-close-tag,"one </div> sits after the divs it should close before, so 9 divs are nested one level too deep: ch5subsubch16 (R6-id-level), ch5subsubch17 (R6-id-level), ch5subsubch18 (R6-id-level), ch5subsubch19 (R6-id-level), ch5subsubch20 (R6-id-level), ch5subsubch21 (R6-id-level), ch5subsubch22 (R6-id-level), ch5subsubch23 (R6-id-level), ch5subsubch24 (R6-id-level)","move the </div> at line 61318 to line 58025, immediately before <div xml:id=""ch5subsubch16"">; tag count unchanged","the volume's own xml:id grammar names a parent this div does not have: ch5subsubch16 belongs under a subchapter of its own chapter; repair simulated — the file still parses and the rule goes from 9 violation(s) to 0; repair simulated over the WHOLE volume — this single move takes it from 9 structural violation(s) to 0, and the file still parses",INTRA-VOLUME-CONVENTION,confirmed
frus1874,comp28,https://history.state.gov/historicaldocuments/frus1874/comp28,frus1874.xml,106516,8813960,R1-rank,"structural rank violation: “Sweden and Norway.” (comp28, compilation) sits inside “Spain.” (comp27, compilation)","move the </div> at line 115159 to line 106516, immediately before this div; tag count unchanged","no machine-readable table of contents in this volume, so nothing in the file settles the level; offered as a question; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0",NO-TOC-UNADJUDICATED,please-verify-against-print
frus1888p2,ch12,https://history.state.gov/historicaldocuments/frus1888p2/ch12,frus1888p2.xml,66446,5447461,R1-rank,"structural rank violation: “AppendixBritish Official Publication. United States No. 4 (1888).” (ch12, chapter) sits inside “Great Britain.” (ch11, chapter)","move the </div> at line 66900 to line 66446, immediately before this div; tag count unchanged","no machine-readable table of contents in this volume, so nothing in the file settles the level; offered as a question; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0",NO-TOC-UNADJUDICATED,please-verify-against-print
frus1900,ch19,https://history.state.gov/historicaldocuments/frus1900/ch19,frus1900.xml,33397,2456413,R1-rank,"structural rank violation: “Negotiations with China for settlement and reparation” (ch19, chapter) sits inside “The Siege and relief of the legations at Pekin” (ch18, chapter)","move the </div> at line 37213 to line 33397, immediately before this div; tag count unchanged","this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0",BASE-RATE,please-verify-against-print
frus1902app1,ch1,https://history.state.gov/historicaldocuments/frus1902app1/ch1,frus1902app1.xml,34449,2619330,displaced-close-tag,"one </div> sits after the divs it should close before, so 4 divs are nested one level too deep: ch1 (R4-chapter-in-historical-document), ch2 (R4-chapter-in-historical-document), ch3 (R4-chapter-in-historical-document), ch4 (R4-chapter-in-historical-document)","move the </div> at line 36690 to line 34449, immediately before <div xml:id=""ch1"">; tag count unchanged","no machine-readable table of contents in this volume, so nothing in the file settles the level; offered as a question; repair simulated — the file still parses and the rule goes from 4 violation(s) to 0; repair simulated over the WHOLE volume — this single move takes it from 4 structural violation(s) to 0, and the file still parses",NO-TOC-UNADJUDICATED,please-verify-against-print
frus1915,ch90subsubch1,https://history.state.gov/historicaldocuments/frus1915/ch90subsubch1,frus1915.xml,126759,8968162,R6-id-level,"the volume's own id grammar puts this one level up: “Expulsion of the Spanish Minister from Mexico; good offices of the United States” (ch90subsubch1, subchapter) sits inside “Protection by the United States of British, Spanish, French, German, Turkish, and Chinese interests in Mexico—” (ch90, chapter)",review the level of this div against the printed volume,the volume's own xml:id grammar names a parent this div does not have: ch90subsubch1 belongs under a subchapter of its own chapter,INTRA-VOLUME-CONVENTION,please-verify-against-print
frus1943,ch11subsubch11,https://history.state.gov/historicaldocuments/frus1943/ch11subsubch11,frus1943.xml,113918,8615364,R6-id-level,"the volume's own id grammar puts this one level up: “Roosevelt–Churchill luncheon meeting, 1 p.m.” (ch11subsubch11, subchapter) sits inside “11. Proceedings of the Conversations at Washington:” (ch11, chapter) — and 1 further div(s) at the same level are absorbed by the same tag",review the level of this div against the printed volume,the volume's own xml:id grammar names a parent this div does not have: ch11subsubch11 belongs under a subchapter of its own chapter,INTRA-VOLUME-CONVENTION,please-verify-against-print
